# Time	Flux
4.4706600000e+07 9.3450210289e+00
4.4708400000e+07 9.3514651621e+00
4.4710200000e+07 9.3456857759e+00
4.4712000000e+07 9.3368035639e+00
4.4713800000e+07 9.3293995409e+00
4.4715600000e+07 9.3520342548e+00
4.4717400000e+07 9.3521770165e+00
4.4719200000e+07 9.3483291582e+00
4.4721000000e+07 9.3603783818e+00
4.4722800000e+07 9.3793721016e+00
4.4724600000e+07 9.3884796179e+00
4.4726400000e+07 9.3903715860e+00
4.4728200000e+07 9.3994743966e+00
4.4730000000e+07 9.4093636294e+00
4.4731800000e+07 9.4234147889e+00
4.4733600000e+07 9.4202888735e+00
4.4735400000e+07 9.4329895492e+00
4.4737200000e+07 9.4458629040e+00
4.4739000000e+07 9.4433079241e+00
4.4740800000e+07 9.4448203082e+00
4.4742600000e+07 9.4227225403e+00
4.4744400000e+07 9.4005946035e+00
4.4746200000e+07 9.4035785381e+00
4.4748000000e+07 9.4112851644e+00
4.4749800000e+07 9.4018957712e+00
4.4751600000e+07 9.3982816840e+00
4.4753400000e+07 9.4057653551e+00
4.4755200000e+07 9.4222108237e+00
4.4757000000e+07 9.4324747443e+00
4.4758800000e+07 9.4168705007e+00
4.4760600000e+07 9.4411872856e+00
4.4762400000e+07 9.4710280902e+00
4.4764200000e+07 9.4712913820e+00
4.4766000000e+07 9.4839590796e+00
4.4767800000e+07 9.4938249182e+00
4.4769600000e+07 9.5044338012e+00
4.4771400000e+07 9.5096986107e+00
4.4773200000e+07 9.5078482550e+00
4.4775000000e+07 9.5242477597e+00
4.4776800000e+07 9.5209796507e+00
4.4778600000e+07 9.5217112286e+00
4.4780400000e+07 9.5470147795e+00
4.4782200000e+07 9.5469314095e+00
4.4784000000e+07 9.5693277885e+00
4.4785800000e+07 9.5697935771e+00
4.4787600000e+07 9.5768500131e+00
4.4789400000e+07 9.5721452033e+00
4.4791200000e+07 9.5704233958e+00
4.4793000000e+07 9.5524289818e+00
4.4794800000e+07 9.5503719111e+00
4.4796600000e+07 9.5443670665e+00
4.4798400000e+07 9.5621626884e+00
4.4800200000e+07 9.5779979886e+00
4.4802000000e+07 9.6054874166e+00
4.4803800000e+07 9.6045559391e+00
4.4805600000e+07 9.5828712104e+00
4.4807400000e+07 9.5743781940e+00
4.4809200000e+07 9.5403318804e+00
4.4811000000e+07 9.5410116841e+00
4.4812800000e+07 9.5390790818e+00
4.4814600000e+07 9.5613958918e+00
4.4816400000e+07 9.5910521459e+00
4.4818200000e+07 9.5754204560e+00
4.4820000000e+07 9.5584791642e+00
4.4821800000e+07 9.5505306709e+00
4.4823600000e+07 9.5404488135e+00
4.4825400000e+07 9.5341176952e+00
4.4827200000e+07 9.5390456876e+00
4.4829000000e+07 9.5407465555e+00
4.4830800000e+07 9.5292020185e+00
4.4832600000e+07 9.5104835819e+00
4.4834400000e+07 9.5031638511e+00
4.4836200000e+07 9.5018887197e+00
4.4838000000e+07 9.5046805940e+00
4.4839800000e+07 9.5023145928e+00
4.4841600000e+07 9.4863875475e+00
4.4843400000e+07 9.5061492964e+00
4.4845200000e+07 9.5002129202e+00
4.4847000000e+07 9.4709275513e+00
4.4848800000e+07 9.4739520881e+00
4.4850600000e+07 9.5038152777e+00
4.4852400000e+07 9.4935972730e+00
4.4854200000e+07 9.4866184602e+00
4.4856000000e+07 9.4868476089e+00
4.4857800000e+07 9.4941396524e+00
4.4859600000e+07 9.4999759347e+00
4.4861400000e+07 9.4791334252e+00
4.4863200000e+07 9.4690651190e+00
4.4865000000e+07 9.4703757504e+00
4.4866800000e+07 9.4705213197e+00
4.4868600000e+07 9.4795354933e+00
4.4870400000e+07 9.4788012984e+00
4.4872200000e+07 9.4787764262e+00
4.4874000000e+07 9.4907404356e+00
4.4875800000e+07 9.4894547039e+00
4.4877600000e+07 9.4959430818e+00
4.4879400000e+07 9.5063976465e+00
4.4881200000e+07 9.5234841968e+00
4.4883000000e+07 9.5169073647e+00
4.4884800000e+07 9.5141984591e+00
4.4886600000e+07 9.5118249788e+00
4.4888400000e+07 9.5071527743e+00
4.4890200000e+07 9.4930120384e+00
4.4892000000e+07 9.5034767241e+00
4.4893800000e+07 9.5088925059e+00
4.4895600000e+07 9.5028547832e+00
4.4897400000e+07 9.5034129480e+00
4.4899200000e+07 9.5256166272e+00
4.4901000000e+07 9.5116705945e+00
4.4902800000e+07 9.4944388935e+00
4.4904600000e+07 9.5096073629e+00
4.4906400000e+07 9.5202040720e+00
